timestamp_s,frame,class,x1,y1,x2,y2,confidence
8.0,240,person,1480,428,1530,550,0.413
8.033,241,bus,257,288,698,500,0.895
8.033,241,person,1217,466,1333,706,0.445
8.067,242,bus,296,288,721,499,0.836
8.067,242,person,666,465,780,713,0.447
8.1,243,bus,320,290,732,497,0.696
8.1,243,person,1207,457,1330,703,0.452
8.1,243,person,973,412,1034,564,0.403
8.133,244,bus,321,280,687,499,0.724
8.133,244,person,974,417,1033,568,0.454
8.133,244,person,1204,460,1329,702,0.44
8.167,245,bus,308,282,735,500,0.729
8.167,245,person,969,416,1032,566,0.467
8.167,245,person,1214,451,1337,696,0.405
8.2,246,bus,331,286,683,495,0.594
8.2,246,person,964,418,1028,564,0.441
8.2,246,person,1207,458,1333,703,0.411
